"Customer ID#","Account No.","Currency","Type","Balance"
3,g,u,Q,F
g,d,G,P,H
YeL0oF8Ma,XHhdide8I,40vUGfpqP,qEYbuosuD,x9ooGaGhz
duzUXN03Y,zjfC4rH9i,psDIPBxL8,FKLFzceiA,Gh22LmmTi
dzK4FQv1,gADgnaKI,ShMJYOQ0,AnemE817,YnDQAdsu
1,C,M,2,f
C,L,0,V,J
I8vnQiE3Z,BxYZeu4B4,28mXoM7Nx,LdjGZbObY,CvGUGjR3d
BaNeO,07W0V,MnT3d,6FQ7H,cBLSQ
sTdaiTydN,yb1C230jZ,e2hxRVmHj,noamOgp9H,Hfn6gipG7
um,BV,BT,ks,hI
YjrRh4Z91q,BF4OoXIYzc,si2jjHCLzz,AKNxRTSfDI,mol9XEehs2
BxZtbd9eK,VtGRsrfqj,88NRFKj2r,cOy4rTkGV,r1QTeNcZh
nkbRCd,ATKH6N,yhjjNA,74kgOK,nCcLu5
eJyoWr,IkYisx,rRtbsS,M8QbKz,xNGr65
a1Xb,0NGr,0lEv,N0Hc,QxHg
l2,1l,7W,iP,l2
5ZV,bi3,aQ6,8AC,VfS
XzGTtmnN,kpoOoakk,lxij6LdN,sNoy6hQH,NkWHrEMx
7xzYKt74,fBKy8qE9,dRLiLWgE,ZS0TP7sO,qDOXm3Nq
Dq,dI,Cg,ih,Jn
pjoh,tMSt,x51D,Ir4M,NZvm
X,g,W,0,4
NBEY,SlpC,ZJiA,UfYJ,mS0B
xNvAO,MbvCy,euFEg,9caE0,py4dA
9xa,MbE,iAC,Yp8,5Ts
PpJ1mpjRsg,Nm0cz9hlWB,dH7RH6XfMl,KBvrVEKEMT,nVf6hg2kl4
j78jAtSs,r9xPiTSQ,codcZeSN,M4OcQkyh,d9bpZGPI
ujaStrD,t7frXkZ,BsUVDB5,CbGS282,GxbGPYr
D,x,J,2,9
X,Z,3,d,e
RD7NIB,HK8AM0,R1gicn,KXbrzr,6y9npo
O4kFVGTO1,L1Vj30XEh,fcGVclcOR,Y3JD5FxH4,iPY6br53l
6Ui7,gU0r,NlV2,zS3o,yszm
S,V,2,i,Q
QsvA88,ehPokF,y0ICbe,N6X0S5,2HVS0Z
HOAnd8HY,aFDVT9cP,pXzifTo3,auKMGYST,rdB1sjgJ
K1va7tzY3,rexo95Dp9,Rig6QRHBI,ZxMgOj7Yg,Lq0a6Ysaj
ek3T6,iLEUv,63n45,shlrz,kXoZZ
xPD0A6,M1O3nr,oNdj6T,SpIM7T,1LvfMO
VQdAx,4urJO,jdsns,YLlbi,FAo3h
QfsOTG,Exk6zl,SBGZ7g,Uv6ZlI,HFnJU8
MyvJN,MAIDy,jksFj,dWpbR,a9Fev
H,M,x,1,c
DJpWeceP,RicKv1TI,WNIJnEzp,Jo0CBs6M,OMgWY1Vh
ean,vEb,KW6,Wg5,pZL
tBgv25,RaOMrW,657khj,R3QS4R,vdvqHO
v,S,Y,H,H
u,H,J,N,B
0bB3v7TqX,ydT1SyVP8,ondmog3iK,sbVx2SzOI,k258X21OM
XY5sl3560s,mFdPgOH8mM,ioGMv8SPEK,85DATAHm3Y,xH5BLuFzN1
h,g,p,i,C
I,R,A,G,V
d,t,X,L,L
Iv1,r6A,P0d,vvf,XSf
VFxr0ChoC,T5CgsZZHj,7S0yK1sQf,9qd1DRoR9,in1k1rFUz
nqqY,SUlV,IaTp,zCBh,vrH8
crG6jbFE,5Vlq2MsD,DSNHGNit,a1WCmeNA,0XhZ7BVg
f2eFkVZSqt,nnhkW9Qilm,H4z8KQ2Upa,ofEWWUfm9Z,n4C39sER5H
FJoA,49m3,3t2m,nogT,6K8R
DVO4y2T,n0N9C6S,nb0jB76,X2Wzp8E,JYpFz0o
duA8eMhz,Pf9Sknjy,ZRv7lH8t,KezAaG5y,xb5aRZka
LI9qQ8,qnWmqa,eSJyJY,1MBvzU,DduLAb
JtxyqcKGEu,cKkchUqpBM,uNLQ5pOqah,a6LoeeD5fO,VBK2FeEiqn
W2ZfLQl,Ut2eLoD,GtKq8AZ,gu5Rbhe,7oD1Njy
7VAaIDg1,uLRXkEUW,G9oBjq86,CxB4gB73,QsWUdT24
IAOv,W2iE,NUeJ,uMM4,rSpm
VnhFzYe,iZfObBc,2RpgVpU,tKdetDo,hbF22ec
f,N,e,u,b
YtR15AV,9r3ov7U,Cbkh18a,Y4D3MM5,VSOozjg
PZCz,suQ7,cOMn,ytFq,NVFk
iNEdOyv4U4,UfYQU6OBWK,u4iY78d4jU,FL8l0zYmX8,36CogcYAj8
WAs,1Ac,6mY,EfG,GoE
OHis,IyRm,StVd,fY8k,dI0h
z5,TC,XK,vo,XK
ZmX42Lrjgo,rfJcHz8lsd,6dBrKIbHjZ,YjLCD42pAP,9VVcv5WWpZ
44BYeq7,5HrF3kK,EuMH2UD,zK3XMTv,TNYVWo4
eKZ6BsveA,suxOilGSQ,Cr4PMpYsP,ML9q1Bi40,Q8oTInpg3
N58zFKAK,OUizNcQR,Y6Vl8ZtZ,CghykYsb,pVxz9Dci
pk44nzrp,NlOSVqnD,WlM7ClQ0,8d0rqBYx,Wt9dHCdN
jM2,vbo,fNP,Zbg,o3G
30,6j,GX,tZ,ds
EFDK9Fy,penE2xt,9GplIVC,lqBRnnX,PGWAdhp
ZAY,RtJ,iIW,hs5,rxO
TsaaY,9pruB,XGhon,xcnOV,OMgBE
lIkJ3VIR,Q97HYCH5,14PcSDgv,WzrmbTrQ,iS0NrELO
F4y,FAL,0oP,rp0,RQK
F6VmuW4I,HbtrhQRH,JFL6eh6q,WmBQ7pkZ,ZxOUkWlq
b,d,q,b,z
hmDD6f4,eiS147I,0Vxu0pc,E3g5Y35,sZGhdWH
xg2pmf97,aB0tWETR,EZICaWlu,3SBMFuvA,5cNGM80x
5tMByBg,RP7dOBu,zM5BCzL,9vIF6rs,cmhpdIl
aLWCAS33zV,bMZj1Dx47p,xHoj80LCPu,O7R1Ot1rM1,JvaljRArMH
28iz,Qhht,7vAZ,Ha8P,pbBc
uOzEY,10O93,lPQEh,qkrdc,qnZOJ
qsnG,UMY9,cFvO,0XbS,LJ8M
yH4FjLT,6orzozA,NxXbnzj,3cZDQdv,bYMneYe
bqD,WRm,WJF,anY,NI1
JLr,iXG,cWB,ZYL,ABJ
b6Ravlu,m95qUFG,ZrBIiuv,hWVb6em,lC1ifMi
y,G,S,s,a
RNRAOL9R5,hY6YYhKxV,jQvOPOYsG,ktL93Ktb0,yJKu8erk4
V9qUGe6ICn,Ig07RHLf1T,tbhfAaOK1r,b4KrIEBA7d,edKj3HRUmr
xKn6pc7CPg,Mkaavc6u9S,ZJWj9zCVU2,WCkL838Qvk,3oSvPPlNCY
1,Y,D,G,k
DoptXOsFt,PIgKZYPoQ,U9jOgOHad,gBDRO4ftd,fDGoxptGs
2sScz,vVFo1,yENNR,zOEUy,zbWn7
UB4OSnCO9,CR87lfE3q,5e8ZqUXYP,TiaOh0hjP,0bHiM8X8R
qaY3I08c,IenW5AVR,LSz3NsWZ,oW3xa4Tq,CWEgSFOX
Fd66,NjDA,6iBG,ATAZ,LYuf
JB1,rR8,viI,dlQ,H4p
ZYh,mBv,GZn,7Kg,ilT
pE2,spC,HzJ,Ju4,Eyg
UoO,sVc,pKY,5FG,2dm
FVWenQQ1Ko,sSbzbb99mK,MEGdfzsZe2,330mqISnEt,TYfP5U26V9
qe3fkUTU,yoLfnMir,TzYvSHpV,0QeGArB3,Tct08rN4
IqUJrT,yuIb94,GW0k3b,lfD9OX,5AQlqF
gjF,Lh8,cze,XE2,Avr
rejSij4hW5,PuvWWTaxoG,eUuCUsj58L,rW9sApRzEr,04JKTvnC1x
xFO,PlP,Hsq,GE9,yk7
oSq3,FDKa,rFb5,yg1c,PDIS
P6O,NnZ,2lq,xED,gpT
ummdahp,NG0KQEq,rYBNZu0,00iC1PH,Ymtmzh4
5,O,F,O,5
rBzHNzSD,ElDGPiyt,iqJpuopX,3W49IOLp,Nm9H9zvl
upsA,a64q,eZQK,TtTG,sXaY
OHIZR7,sKmJTi,uqBPcn,4Y5Sqd,uL4TMC
EJsRcSgA,6B2o1xKm,5BDvCqQO,AYA6H1cy,4WiI6lWG
KV8MaN3H,taAyCfir,G2CqHRpW,gra6RiKM,gredvan8
cn2da,cqekU,n24eG,cJr46,Uase8
t07,B2r,32Q,LSv,Fbo
TKP8Xz,3b5Sf5,lTc48L,RNfJ2F,OpSTkK
pnWM,5eNA,Y6B1,oJri,spVu
tNMR096,2nai7NZ,7A6R43s,Ev6KAUW,WuG8ENn
czTIP,W6WG6,jVkWK,bF9Ih,KsLCK
BFWXgE,FNgyH6,VcfGFR,bzHgOZ,fp4zBG
P2mmEYEb,nLpmPSZG,KYFYy0Nh,JXYFsH9X,MLNSYpB8
9fI7,iEuW,luaa,qKZt,SZB1
6mcxKxY,I54B8uc,HLCJbQ1,AW29LxZ,xlJ76iS
RktGpPkgRg,1tajpv4IZZ,HyMUOdDRog,qh7td1pCfg,gim7Iu6PaA
TeYh2P,IPGvIl,GvoELY,zDfWJM,GmPszG
mDT7YuF,0EIffLP,JmvEsvW,NbW8qdg,42gQ6h8
D8fhHMm1ij,klrfIpeSu6,UEu9pUfTrj,ezsf5M8JVz,mTFlQmLXIa
uEHQObh1I,cTIgUGmXX,nV1SQ6UXT,jf1MLe5l1,xYDaGaN38
Ii9,UIm,WQX,JqJ,jv0
jTLSAsKX,lHaN9KYG,RGJPYnC5,UmEXo26F,EO3vkDA1
24ohcDo6X,ejU2YN3RB,bdpFPO2KH,BkSZ82R7U,dpTTVjEft
x0vi,rp0o,bCSU,rh2i,2rnj
WQ1,0Mz,5Z2,GcN,g3z
V64sV,HUH6c,YbcSP,hnLgv,E6Qu8
C9QnLO,6LpOWP,OxavUd,v48tMn,cpIsns
0LPCC,yEWNE,vNBt8,yxfpT,iZKkc
3eko9,NDLur,Ef4HS,jX9Qh,J82Sm
bl,m1,DQ,kA,Jh
h,o,u,2,O
lMeDkQsicS,AfBGE6xk7I,oiaTsQJfyc,In53QQgegA,gE7RQCRTqp
sdHpLLK,MhycTJQ,qzucWCb,SXflQJM,93oo59g
BiMPaZgp97,uME5PqY6dD,NMd9nilhRF,xXMVP1INJ6,FMF9t0PZJy
zI,5M,t0,cU,Ii
uTk,GBU,U9n,ejL,AVq
Em,vO,EY,ir,jL
BhxopV,iJyEbk,XmucdX,pJu5ft,P8Zzr6
UpnFsV7kn,GZadfshuS,1mGtSmEkW,CbnqIlnQr,cYLTaYOQ7
AiH,gv8,IbR,6Kr,0i6
Wu296ObB,jF7Z38L3,BDg45rCl,YT4NCk2U,gcZrurjO
sm98MY39,dKbuOzsU,ibZYSD8T,mNgc6bMi,fKsgOMgg
kl,0H,mu,Hi,Go
Iqyi9K,L1fEIQ,QN2BOG,uZpiAI,UNUQog
31a16z,TD7Trf,Z0Vvqd,kKPV51,lolRza
UDa,Fu5,jV6,2V0,g7T
qgXXk2J9HR,OYklK53rM1,qlfCS44Yqn,ucjW4vDsti,LLGZEas4z7
VWBZx,dxVPA,a40YY,NHuMK,Qt1Hm
Mu,bM,Ly,a6,0g
C,Y,R,5,G
uF2,7LL,qi4,0sL,5CM
7I,lF,6H,d8,9q
ZN09SB2,xPdq6sJ,gcECcVE,TtXIhbI,gWrM960
F,3,k,l,D
IF,CG,Mv,zQ,WD
QB,qg,xa,WG,UP
JZ,ky,j4,VA,eo
P18,QiL,qiz,jnc,Y2U
FRkQBhgKI,WDCgBRozo,4g4pYxWmr,zmWqf77JV,nODL614nn
556tfqCUo,tDG2i77vF,llMS3GagP,QoQmg6LF7,91QiWULKR
PW06maIP,FNWTnxyo,YjoY1ZM0,aKDlzLG3,qt9rNKvf
3Jyo2x,TfQD3v,Ru9Bp3,nCrCHl,GACXJ8
Aa8paKa6q,3qJB2rH1f,ZKZq0Txc4,iVg7C0N8r,kUvLjo4ES
0mFgl,HSA1f,EYhX0,FhTLG,jtBfo
bZ,2j,md,5M,B3
bSKQyk,9Zn3Kd,s2nkER,UPgigT,vOa4JH
VP6fShCx6,0GzKYtyHH,SAU3bPoVF,yeABREfJ1,gRXVK0d6p
lChfvKS4,tTDU5EYM,htc69b0Q,cxBQbOtF,8EVvDdvt
lSPKgQZe,ONKSKjQM,KtZIAzSk,A14tjuNg,2VuCy82Y
pKdcv7XGm,oJjq30UVx,Yn8rLM4Bz,yM1k5X19I,FsT0E0QHP
8UzHMZM,TlCH3Vv,7yID361,8Ddx95S,3QU5kg9
p7CmxW70FB,9WdSQmxAqP,bc29FJvWU8,EvI2IAyqjp,KIyRd0kNKG
N0VM,bg7N,E1MH,YNvb,c8vp
13p4,ttG0,PL77,jjcd,9Qd4
vYrTy6,TaMlON,KbYaiu,aOVXjt,5FMOOp
mMp,b71,8fQ,88l,UB9
YCf5BQAQN,UfuTjuK01,R0PTgeHtE,L5rdCbTh6,eJhj6WeH9
I1eft1ESdo,lBxSYzzrQf,8cyQJUKqJT,D7ub2UtjFf,gVaNvExg4x
pJYhT9vK,iqTpUHiS,8vbBWmBM,5JOJLzTi,CO3mUPH4
nT9qGX,rUocqp,zZdSMi,4tGnpk,uMc5TP
ccS8,JQfQ,jjau,lvaB,x4AE
UvnSF,sQbn5,V5KHE,Y0pCI,gNLrb
G2K8,6VDD,GGm9,hmDY,XETZ
bFW,215,S1R,mYN,fTa
odg3lp,Z8BClj,HLpSCk,bmcRhL,aQA0BS
2bCSJ,xKUY0,yWaGy,cxsmg,MVZL3
SGjs,9dkS,JLuE,itlp,Jh3a
H1,Dt,NM,g0,VH
FWfN2aIn,0cGp5pUj,3q5Xan95,KiCOB1gl,dC5C0yTj
yFE,BrT,cQ0,m1j,CgQ
uVDmcXIz,etcklDIo,b3U1G2E9,6fjj4TjW,c3uvE0NO
xu,pK,gC,Ki,OM
OaeEJf1dAa,sNOkTtoDbB,UfWsUJe9EM,ANXxeNGvZ9,ynqqIuvu86
s6dvLpe,bp8ktzP,QehpuNK,WxeZo3I,LzzWO9A
C,F,u,7,p
X3NdNsG,1LmhpSk,z7TZJko,fAZrgoY,VmiKiST
6F8QYyU,Hfm3c3t,snLZhfG,RLZJDSE,fP5ab9p
xUztdR,KuvNUH,vBq6Bd,1qVlD2,51OUnI
9ufyXW,UXhkSK,QSoIko,6aJMPK,gXZQsH
Erh6,SnXU,TQhP,I1LM,AmXF
UKjz8E,2O6l0Y,CnCUnZ,0DhneG,80Iogl
pJd,S7K,bJQ,UiC,KVM
n5,hR,Md,6X,Pn
V81RPii,S7PzJxO,OKFXlIU,iZGoCgP,0dHYTeR
XoRf6tj,5XBrsXz,X4pgVoY,zXFac2g,R3fnqLl
oJhH6y,vBUd6v,Nv6BWe,5k1kDJ,16vWUs
OKYsdG1d,LJoS9KZu,BcOZJDha,EyAXVple,FGUkOD37
FioiWpMco6,xxtFKlV3WQ,GsQUHyolxh,41sajMysmP,4FSnLHxToW
4tdt9RmJ,ZLbLYUTA,Dr5oyLfQ,SXAufpRZ,9dKbVpHS
XWaHVe9,HGfnysI,FfZJnb7,vH8qD6N,p0dUxxt
mHovS,8Xjad,30osv,kkDTX,LPv91
l3UU8,7K7FM,zpMdZ,YP4ZR,Jheb1
WAXHMA,gPUv99,LLT5Ar,cpnUyB,nQDXba
Qv,1Q,pO,1R,Ih
H5bpfjRmtC,nnYtGzA3fH,kQDHpo5DAa,o2zuikUm8L,dX131Yubbn
1H,yZ,YZ,vn,hD
JHTuisu,QNeguAs,7FkqzIj,3F82NDY,co5RlE5
J,7,T,B,D
GhWe1eAU,rmIMWa6N,VMDVsobK,zVYMWxM7,soXkRSq1
OTlpq8y4,lQFMjCGe,p7k926yc,F6jtyfNA,zNWxs90a
TnUq,g0eA,xORG,LCP9,8Paa
gW,U9,3j,Ja,9V
vrvXqqzgU,LSDAiAcXQ,QikeV6Oh7,hILSYCREm,aQNcu5aW0
Q5BL,iCSL,AKSI,3EAo,aEoZ
h,P,7,g,q
B1ZUCSh,XMAJIjK,XxpC0yS,nCXaUpt,oMGd6Ls
UHm8kcS,jAUqOd9,y55yfbl,IsR0523,lPxkS2S
GIrE,bjKa,JKRQ,68Pf,sza7
CGmx,gdvp,r2zW,ifqf,19Kv
tvZIea6,9APvpOg,F1X5Jt7,qzFp0Ux,oYFMbfU
4kWpzsx0zM,vA2uNKBUaS,Xt7Y8iYQ4b,jASmcatF5M,dPsUF6hxt2
N9,Fe,E0,Pp,tm
nd9,WSO,82R,OOK,PRX
ic2,8rz,FrR,U5k,Kh6
qWl6,N9iU,nzS2,XrjI,0ufs
aAo0T,XtrSO,PF9lq,Q6g2C,Q4SiX
ipky3fxz,yuZ0eWFQ,HEyHX67I,j8EFXH3m,GCUT3ts7
Fq6ilbO,Makodcx,lbmRDX3,M856Eek,d58nLuo
Oeod,kC93,72fr,4lMe,ZXpj
Zsn,tSQ,zSh,Scp,l0U
x,o,f,E,4
c7Z3,kY6v,CBDC,ziXe,osGA
I93t2,AWxut,aRoVN,0CnAJ,VFUAV
Y3e,xfX,oOp,uu1,qHa
BPr7x9,d9KOVs,43B2kL,MfEptm,DJlxml
f7qsi3H,HxtigB9,BMSc45b,meScjl1,EGsLuBh
9Xl,oGT,vY4,gQ3,zeQ
ySBk,OGzP,42vR,e9tP,XLGf
Q6u,tG7,4gf,bIu,A5n
PtSBO,ucU8A,Huzka,FRoGU,Oq3D9
QjqsD5rds,UzQkhudPQ,SHrdCDZqo,zIIbtHnhq,7drUPOnje
QpO5g,IQ9x6,L1orB,ZuKeX,5Ljxe
7HFfy7,1MohIu,QBxhv7,acEzR9,eQoImn
9JRi5483k,PJ2I6tOpF,GHT3N0sWb,rnlR9QkhV,mBsoCCr2A
b7KvTP3oA,AFRNdDJXR,XOdWfikuQ,lnIGsZN5W,G6sYgrWLc
Y90BlrjU3,sHCxJ8Edg,ZUYYYGUBD,uiZ9YHrMW,s3BVpImkv
iepq,Ppqe,Wac9,2Qqj,fQnr
2x78X1P,m9MPOzy,p2AjDrD,K2Kl0yQ,0PDeYQG
t20BI5u,qSVGv3p,vJeVqY7,ak0f643,XfkZYZC
8X8JH9V,lIsleRs,D19ZRJm,hUqC7Zi,nLs2rJM
uLuI4O,2eGiU0,NU928y,n15rgL,4P3HDK
5,j,I,P,W
PRY,oJ1,qIv,2GT,zW1
sS,4n,9M,kd,Se
b0z7gp15Tp,s2lGoQpV3m,ZC38DDpCoj,zVkWSpGpdN,vqN1ZC3d0S
PtUQ,iAGg,lDro,e9WG,tpVg
rJhnT,ajgBl,1Lgy8,KxVhZ,8cWEs
cCCV,o9a4,Hb5f,dBmA,yVaB
CnQ0nPDtMb,Vj0bkLiNpy,LIeL4peMgN,Hi4pQOyF8I,hOcLVI9I7X
y7Jm4060,rKzrxfKr,2tx7TEds,MLNcbuxL,to6t0rAf
Yz,tc,zt,bv,5j
9,t,D,a,A
nU,sz,rh,PS,3o
LlmCKPE,8hLRR1q,fF4FcL8,e5Bm4xr,up8oW0W
qY0jo6,k5oYGi,Z0kTez,xHaJc3,b9xAQQ
frZAWjGs,8AtEkxQi,izMWpAfM,m2L9Z149,5a6h1HKf
NL7tb,DZpIQ,GHI7Y,9OkcD,5HgfD
snvqTtm3s,NO3uqLI6u,Wnog1n3jW,lo4o30uON,qyhAtu9c6
3ea28,cD8mM,kgWGD,2boOV,s5k7P
kj8FOFIH,KadclrE8,t5tq1dSo,rQPJJg6c,vjABhgsu
GQZ,ICn,Ud1,F0U,1Os
80,XG,e5,Wp,H8
nOFsn3,5tDSLZ,T53Lm2,TSNqyk,0QLdUv
k3tnu9UH,c4FpKzL2,xSMqLW6P,vAyjOPTi,aaZv5x3j
8pYJzeS0z,k2Ogftitc,KvrnNxxxj,lrefDYLxN,bDLpSOrGm
